2025-03-30 06:17:24,270 - INFO - Popup Closer started
2025-03-30 06:35:17,900 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:18,893 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:19,890 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:20,893 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:21,887 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:22,888 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:23,897 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:24,861 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:25,859 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:26,837 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:27,846 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:28,839 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:29,841 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:30,835 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:31,838 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:32,835 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:33,835 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:34,832 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:35,834 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:36,831 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:37,846 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:38,843 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:39,844 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:40,828 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:41,783 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:42,783 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:43,784 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:44,825 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:45,811 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:46,809 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:47,825 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:48,810 - INFO - Closed popup using 'badspam.png' at position 1545, 203
2025-03-30 06:35:49,813 - INFO - Closed popup using 'badspam.png' at position 1545, 90
2025-03-30 07:14:45,139 - INFO - Closed popup using 'badspam.png' at position 406, 203
2025-03-30 07:24:22,152 - INFO - Closed popup using 'badspam.png' at position 649, 211
2025-03-30 07:24:23,150 - INFO - Closed popup using 'badspam.png' at position 649, 211
